full_name,age,positions,nationality,overall_rating,potential,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,national_team,national_team_position,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,current_age
Willem Tomlinson,21,CM,England,57,67,Right,1,3,2,Medium/ Medium,Normal,,,43,40,45,59,34,54,38,37,53,56,72,68,72,56,73,54,60,72,57,58,74,54,53,57,42,55,57,53,53,10,7,9,13,12,,,52+2,52+2,52+2,55+2,55+2,55+2,55+2,55+2,56+2,56+2,56+2,56+2,56+2,56+2,56+2,56+2,56+2,57+2,57+2,57+2,56+2,56+2,55+2,55+2,55+2,56+2,27
Érico Henrique Esteves De Sousa,23,"LM,CAM",Portugal,57,65,Right,1,3,2,Medium/ Medium,Normal,,,54,45,50,55,42,54,41,39,54,51,75,72,68,49,53,57,65,60,48,43,59,43,57,50,42,46,48,43,44,6,10,11,11,13,,,52+2,52+2,52+2,54+2,53+2,53+2,53+2,54+2,53+2,53+2,53+2,55+2,51+2,51+2,51+2,55+2,52+2,49+2,49+2,49+2,52+2,51+2,48+2,48+2,48+2,51+2,29
Moussa Soumaré,21,RB,France,57,67,Right,1,2,2,Medium/ Medium,Lean,,,52,34,62,53,27,52,33,30,47,49,68,66,54,54,49,32,52,51,62,29,59,61,45,40,46,41,53,58,55,7,6,11,11,5,,,47+2,47+2,47+2,49+2,47+2,47+2,47+2,49+2,48+2,48+2,48+2,51+2,48+2,48+2,48+2,51+2,55+2,53+2,53+2,53+2,55+2,56+2,57+2,57+2,57+2,56+2,27
Robin Kehr,19,"ST,LM",Germany,57,76,Left,1,3,2,Medium/ Medium,Lean,,,39,59,54,51,45,59,58,34,33,58,69,68,62,47,54,53,63,55,66,45,34,20,48,39,58,46,24,28,20,9,13,13,13,7,,,55+2,55+2,55+2,54+2,54+2,54+2,54+2,54+2,51+2,51+2,51+2,52+2,45+2,45+2,45+2,52+2,41+2,38+2,38+2,38+2,41+2,39+2,37+2,37+2,37+2,39+2,25
Ryan Broom,22,RWB,Wales,57,64,Right,1,3,3,Medium/ Medium,Normal,,,61,52,39,57,39,62,53,42,49,57,80,84,71,46,77,57,53,61,57,47,36,44,51,46,44,46,58,45,44,15,7,10,8,10,,Technical Dribbler (CPU AI Only),54+2,54+2,54+2,58+2,56+2,56+2,56+2,58+2,55+2,55+2,55+2,58+2,52+2,52+2,52+2,58+2,55+2,50+2,50+2,50+2,55+2,54+2,48+2,48+2,48+2,54+2,28
Jesper Löfgren,21,CB,Sweden,57,72,Right,1,2,2,Medium/ Medium,Lean,,,25,28,48,51,23,42,26,25,45,48,59,62,46,46,40,33,67,60,80,23,51,54,36,38,36,40,53,58,54,9,12,8,13,13,,,42+2,42+2,42+2,41+2,42+2,42+2,42+2,41+2,43+2,43+2,43+2,44+2,45+2,45+2,45+2,44+2,50+2,52+2,52+2,52+2,50+2,51+2,56+2,56+2,56+2,51+2,27
Oladapo Afolayan,21,"ST,RM",England,57,69,Right,1,3,2,Medium/ Medium,Lean,,,36,56,56,52,46,53,42,32,35,54,73,73,58,59,69,52,64,50,58,51,35,29,50,40,54,54,26,17,11,10,11,10,11,14,,,55+2,55+2,55+2,53+2,54+2,54+2,54+2,53+2,52+2,52+2,52+2,52+2,46+2,46+2,46+2,52+2,40+2,37+2,37+2,37+2,40+2,39+2,36+2,36+2,36+2,39+2,27
Sergio Rafael Pabón Barros,22,GK,Colombia,57,65,Right,1,2,1,Medium/ Medium,Normal,,,13,9,14,23,8,10,13,10,21,10,16,33,35,51,38,25,51,16,49,5,24,14,7,37,11,41,9,10,12,59,55,56,52,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Cyrill Akono,19,CF,Germany,57,75,Left,1,2,2,Medium/ Medium,Lean,,,41,65,61,49,53,51,42,41,39,50,65,75,54,62,53,57,62,60,69,54,66,26,58,55,57,61,24,23,24,9,10,14,11,12,,,59+2,59+2,59+2,55+2,56+2,56+2,56+2,55+2,54+2,54+2,54+2,54+2,49+2,49+2,49+2,54+2,43+2,41+2,41+2,41+2,43+2,42+2,41+2,41+2,41+2,42+2,25
Harry Clifton,20,CM,England,57,69,Right,1,3,2,Medium/ Medium,Normal,,,41,49,42,58,41,55,50,30,48,57,78,70,66,57,71,48,55,76,61,49,63,54,54,53,26,51,54,55,53,9,6,8,7,10,,,53+2,53+2,53+2,56+2,55+2,55+2,55+2,56+2,56+2,56+2,56+2,56+2,55+2,55+2,55+2,56+2,57+2,56+2,56+2,56+2,57+2,57+2,55+2,55+2,55+2,57+2,26
Gustavo Adolfo Carvajal Gómez,18,"CDM,CM",Colombia,57,77,Right,1,3,2,Medium/ High,Normal,,,38,34,62,62,27,51,30,37,45,61,62,57,59,53,65,45,56,65,56,31,60,56,38,45,36,49,55,57,52,9,14,11,9,11,,,48+2,48+2,48+2,49+2,49+2,49+2,49+2,49+2,50+2,50+2,50+2,51+2,52+2,52+2,52+2,51+2,55+2,56+2,56+2,56+2,55+2,55+2,56+2,56+2,56+2,55+2,24
Fabricio Domínguez,20,CM,Uruguay,58,72,Right,1,2,2,Medium/ Medium,Normal,,,50,52,56,62,44,59,49,47,58,57,66,60,59,56,61,60,58,59,47,48,45,50,61,53,46,43,48,50,52,10,9,11,14,9,,,56+2,56+2,56+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,56+2,56+2,56+2,57+2,54+2,53+2,53+2,53+2,54+2,54+2,51+2,51+2,51+2,54+2,26
Ayodele Adetula,21,"LW,RW",Germany,58,68,Right,1,3,3,Medium/ Medium,Lean,,,48,52,38,46,41,66,41,33,40,62,74,78,71,48,63,64,45,52,54,53,36,20,44,53,50,49,26,34,32,7,8,14,13,12,,Technical Dribbler (CPU AI Only),54+2,54+2,54+2,57+2,56+2,56+2,56+2,57+2,55+2,55+2,55+2,55+2,48+2,48+2,48+2,55+2,45+2,40+2,40+2,40+2,45+2,43+2,37+2,37+2,37+2,43+2,27
Seny Dieng,24,GK,Switzerland,58,66,Right,1,3,1,Medium/ Medium,Normal,,,7,9,20,21,8,10,31,8,47,20,39,41,34,53,33,30,66,26,63,5,24,11,6,45,8,44,8,9,14,63,52,58,54,63,,"GK Up for Corners,Puncher",,,,,,,,,,,,,,,,,,,,,,,,,,,30
Thijmen Nijhuis,20,GK,Netherlands,58,66,Right,1,3,1,Medium/ Medium,Lean,,,12,6,12,27,9,11,14,12,23,14,17,18,34,58,29,22,35,25,56,8,20,12,7,37,18,25,10,14,14,63,54,59,54,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Noah Awassi,20,CB,Germany,58,71,Right,1,3,2,Medium/ Medium,Lean,,,31,23,53,52,36,30,35,35,36,47,67,62,50,49,52,47,63,55,71,24,47,56,31,39,42,44,57,62,56,7,14,13,9,11,,,42+2,42+2,42+2,40+2,40+2,40+2,40+2,40+2,41+2,41+2,41+2,42+2,43+2,43+2,43+2,42+2,51+2,52+2,52+2,52+2,51+2,53+2,57+2,57+2,57+2,53+2,26
Hugo Díaz Rodríguez,22,"CB,CDM",Spain,58,70,Right,1,2,2,Medium/ Medium,Lean,,,22,23,53,56,28,43,23,30,48,51,58,59,49,46,51,40,65,59,64,23,45,52,22,39,37,46,60,61,59,15,14,15,8,11,,,40+2,40+2,40+2,40+2,41+2,41+2,41+2,40+2,43+2,43+2,43+2,43+2,46+2,46+2,46+2,43+2,51+2,53+2,53+2,53+2,51+2,53+2,56+2,56+2,56+2,53+2,28
Bruno Oliveira Bertinato,20,GK,Brazil,58,68,Left,1,3,1,Medium/ Medium,Normal,,,13,7,10,15,8,7,12,13,21,18,18,20,22,58,20,20,37,21,56,8,25,7,9,53,13,23,8,11,12,59,58,56,50,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Lucas Perrin,20,CB,France,58,73,Right,1,3,2,Medium/ Medium,Lean,,,38,22,57,42,33,36,28,30,48,42,55,55,42,57,56,47,55,63,68,29,58,48,23,36,52,43,58,63,57,9,13,13,13,8,,,40+2,40+2,40+2,38+2,38+2,38+2,38+2,38+2,38+2,38+2,38+2,41+2,43+2,43+2,43+2,41+2,51+2,52+2,52+2,52+2,51+2,53+2,56+2,56+2,56+2,53+2,26
Lucas Beltrán,17,ST,Argentina,58,76,Right,1,3,2,Medium/ Medium,Normal,,,33,60,47,44,52,56,43,33,38,61,68,65,62,49,72,62,66,54,66,52,30,18,58,42,47,45,15,13,16,6,14,10,14,8,,,57+2,57+2,57+2,54+2,55+2,55+2,55+2,54+2,52+2,52+2,52+2,52+2,45+2,45+2,45+2,52+2,37+2,34+2,34+2,34+2,37+2,35+2,32+2,32+2,32+2,35+2,23
Tyrell Robinson,21,"LB,LM",England,58,69,Left,1,2,2,Medium/ Medium,Normal,,,58,45,45,59,37,60,44,31,39,61,74,71,66,59,74,46,38,67,53,36,26,44,44,47,52,38,60,53,52,15,8,8,13,10,,,51+2,51+2,51+2,56+2,54+2,54+2,54+2,56+2,54+2,54+2,54+2,57+2,52+2,52+2,52+2,57+2,58+2,52+2,52+2,52+2,58+2,57+2,50+2,50+2,50+2,57+2,27
Rasmus Emanuelsson,27,GK,Sweden,58,62,Right,1,3,1,Medium/ Medium,Normal,,,13,10,11,24,7,11,13,12,16,11,20,33,24,41,29,22,34,18,56,14,27,16,10,35,19,31,10,13,10,59,58,57,60,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Aaron Barnes,22,"RB,RWB,CDM",England,58,68,Right,1,3,2,Medium/ Medium,Lean,,,55,41,46,57,36,51,51,52,47,51,63,68,57,55,56,54,68,73,62,52,54,47,40,38,39,38,58,58,54,13,9,12,9,11,,,49+2,49+2,49+2,51+2,49+2,49+2,49+2,51+2,49+2,49+2,49+2,52+2,50+2,50+2,50+2,52+2,57+2,54+2,54+2,54+2,57+2,56+2,55+2,55+2,55+2,56+2,28
Florent Maddaloni,24,GK,France,58,64,Right,1,2,1,Medium/ Medium,Normal,,,15,10,11,27,10,8,12,13,31,16,26,23,22,42,20,21,31,17,41,7,18,11,8,41,19,28,9,12,9,56,57,55,58,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Owen Evans,22,GK,Wales,58,68,Right,1,3,1,Medium/ Medium,Lean,,,18,11,11,27,11,16,18,14,28,22,39,40,40,38,35,18,50,17,30,10,15,6,4,25,30,22,9,18,16,62,60,58,58,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Daniel Kemp,20,RM,England,58,68,Left,1,3,3,High/ Medium,Lean,,,54,47,30,52,40,62,50,37,46,60,74,67,78,57,81,44,49,50,31,48,30,27,53,49,50,54,26,27,24,11,13,6,13,10,,,50+2,50+2,50+2,57+2,55+2,55+2,55+2,57+2,55+2,55+2,55+2,56+2,50+2,50+2,50+2,56+2,45+2,40+2,40+2,40+2,45+2,42+2,33+2,33+2,33+2,42+2,26
Anthony Gomez Mancini,17,CAM,France,58,76,Left,1,3,3,Medium/ Medium,Normal,,,52,51,44,61,42,56,44,50,63,58,62,61,61,55,62,59,54,47,45,44,52,52,51,58,61,49,47,49,43,13,15,14,8,9,,,53+2,53+2,53+2,55+2,55+2,55+2,55+2,55+2,56+2,56+2,56+2,56+2,56+2,56+2,56+2,56+2,52+2,53+2,53+2,53+2,52+2,51+2,49+2,49+2,49+2,51+2,23
Alexander Sebald,22,GK,Germany,58,67,Right,1,3,1,Medium/ Medium,Normal,,,8,6,9,18,7,17,11,8,9,12,32,40,35,48,38,20,62,32,69,6,14,12,6,25,12,49,6,14,11,57,63,56,53,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Javier López Vegara,18,"CM,CDM",Spain,58,71,Right,1,3,2,Medium/ Medium,Normal,,,56,53,48,66,38,57,49,48,62,65,61,64,60,48,60,63,62,56,49,56,55,46,48,54,60,39,54,44,45,9,8,12,10,8,,,55+2,55+2,55+2,57+2,56+2,56+2,56+2,57+2,58+2,58+2,58+2,58+2,57+2,57+2,57+2,58+2,54+2,54+2,54+2,54+2,54+2,52+2,50+2,50+2,50+2,52+2,24
Harry Pritchard,25,"CAM,LM",England,58,61,Left,1,3,2,High/ High,Lean,,,54,50,38,57,40,61,38,35,49,60,69,71,65,53,60,52,43,49,36,40,28,35,51,59,46,44,39,37,32,15,9,6,8,14,,,52+2,52+2,52+2,57+2,56+2,56+2,56+2,57+2,56+2,56+2,56+2,57+2,52+2,52+2,52+2,57+2,48+2,45+2,45+2,45+2,48+2,47+2,39+2,39+2,39+2,47+2,31
Tom Baller,20,"CAM,RM,LM",Germany,58,73,Right,1,3,3,High/ Low,Lean,,,52,51,38,54,55,66,53,48,51,62,69,55,75,50,77,48,34,47,40,47,35,23,48,56,50,49,26,32,24,13,5,11,7,6,,,51+2,51+2,51+2,57+2,55+2,55+2,55+2,57+2,56+2,56+2,56+2,56+2,51+2,51+2,51+2,56+2,43+2,41+2,41+2,41+2,43+2,41+2,34+2,34+2,34+2,41+2,26
David Cornell,27,GK,Wales,58,61,Right,1,3,1,Medium/ Medium,Normal,,,16,13,11,29,14,11,16,11,30,23,38,34,47,51,50,16,58,18,64,12,32,17,12,31,21,49,9,12,17,61,56,62,55,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Odin Bailey,19,"CAM,RW",England,58,78,Right,1,2,2,Medium/ Medium,Normal,,,51,56,42,58,46,59,47,34,45,60,71,69,58,53,67,56,58,53,57,55,33,19,46,57,53,48,25,18,17,15,5,12,9,14,,,54+2,54+2,54+2,57+2,56+2,56+2,56+2,57+2,56+2,56+2,56+2,56+2,51+2,51+2,51+2,56+2,42+2,39+2,39+2,39+2,42+2,40+2,34+2,34+2,34+2,40+2,25
Axel Björnström,23,LB,Sweden,58,66,Right,1,3,2,Medium/ Medium,Lean,,,51,22,54,52,26,46,35,30,40,54,68,66,59,52,72,42,78,65,55,34,50,56,41,39,33,45,59,58,54,15,14,9,11,6,,,44+2,44+2,44+2,47+2,46+2,46+2,46+2,47+2,46+2,46+2,46+2,49+2,47+2,47+2,47+2,49+2,56+2,53+2,53+2,53+2,56+2,56+2,56+2,56+2,56+2,56+2,29
Yousef Emghames,21,"RM,LM",Germany,58,71,Left,1,3,3,Medium/ Medium,Lean,,,55,51,40,54,50,67,57,47,51,60,68,67,78,46,76,45,34,45,44,44,38,21,47,52,53,50,23,30,25,13,10,8,13,7,,,51+2,51+2,51+2,57+2,54+2,54+2,54+2,57+2,55+2,55+2,55+2,56+2,50+2,50+2,50+2,56+2,43+2,40+2,40+2,40+2,43+2,41+2,34+2,34+2,34+2,41+2,27
Armani Little,21,CM,England,58,69,Right,1,3,2,Medium/ Medium,Lean,,,56,42,58,66,56,56,62,56,61,60,62,50,61,57,83,62,58,55,36,44,51,26,56,59,57,62,44,56,52,11,11,10,10,13,,,53+2,53+2,53+2,56+2,56+2,56+2,56+2,56+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,52+2,51+2,51+2,51+2,52+2,51+2,48+2,48+2,48+2,51+2,27
松本 大志,20,"CM,CDM",Japan,58,74,Right,1,3,2,Medium/ Medium,Normal,,,32,40,48,67,25,62,42,39,62,66,57,60,63,51,71,46,61,52,56,47,50,55,31,48,38,55,59,66,62,8,7,15,7,12,,,48+2,48+2,48+2,52+2,52+2,52+2,52+2,52+2,55+2,55+2,55+2,53+2,57+2,57+2,57+2,53+2,56+2,59+2,59+2,59+2,56+2,56+2,58+2,58+2,58+2,56+2,26
Harvey Rodgers,22,"RB,CB",England,58,64,Right,1,2,2,Low/ Medium,Lean,,,52,28,56,53,25,51,35,27,47,53,63,61,57,53,56,41,66,69,66,23,54,55,36,36,41,53,56,60,57,8,7,9,14,6,,,45+2,45+2,45+2,47+2,45+2,45+2,45+2,47+2,46+2,46+2,46+2,50+2,48+2,48+2,48+2,50+2,56+2,54+2,54+2,54+2,56+2,57+2,57+2,57+2,57+2,57+2,28
Archie Collins,19,"CM,CDM",England,58,71,Right,1,3,2,High/ Medium,Normal,,,45,46,40,59,37,59,50,41,57,60,72,73,75,53,80,57,68,70,53,56,45,51,52,57,51,54,55,56,53,7,14,12,6,9,,,53+2,53+2,53+2,57+2,56+2,56+2,56+2,57+2,58+2,58+2,58+2,58+2,57+2,57+2,57+2,58+2,57+2,55+2,55+2,55+2,57+2,56+2,53+2,53+2,53+2,56+2,25
伊藤 宏樹,19,"CM,CDM",Japan,58,73,Left,1,3,2,Medium/ Medium,Lean,,,59,36,33,63,36,59,42,36,58,59,68,70,63,44,52,59,51,64,79,44,56,50,56,61,44,57,46,60,58,13,10,10,10,10,,,51+2,51+2,51+2,56+2,55+2,55+2,55+2,56+2,57+2,57+2,57+2,58+2,57+2,57+2,57+2,58+2,57+2,57+2,57+2,57+2,57+2,56+2,54+2,54+2,54+2,56+2,25
David Philipp,18,"CAM,RM",Germany,58,76,Right,1,4,3,Medium/ Low,Lean,,,45,60,40,54,50,64,62,59,51,56,67,65,65,57,66,53,65,54,53,53,46,26,53,54,42,57,48,27,24,14,13,7,15,8,,,55+2,55+2,55+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,56+2,52+2,52+2,52+2,56+2,45+2,44+2,44+2,44+2,45+2,43+2,40+2,40+2,40+2,43+2,24
Osciel De La Cruz,20,LB,Mexico,58,68,Left,1,2,2,Medium/ Medium,Lean,,,55,27,51,35,30,61,39,36,35,48,65,63,50,53,81,31,57,56,46,26,54,58,52,41,46,48,55,66,65,10,13,13,6,8,,,44+2,44+2,44+2,49+2,46+2,46+2,46+2,49+2,45+2,45+2,45+2,49+2,45+2,45+2,45+2,49+2,55+2,50+2,50+2,50+2,55+2,56+2,55+2,55+2,55+2,56+2,26
José Antonio Cobián,20,LM,Mexico,58,67,Left,1,3,2,High/ Low,Lean,,,57,57,39,60,51,60,45,41,53,63,61,67,50,43,71,67,44,54,53,40,29,17,54,47,61,51,34,32,27,13,6,11,5,7,,,55+2,55+2,55+2,56+2,56+2,56+2,56+2,56+2,55+2,55+2,55+2,57+2,51+2,51+2,51+2,57+2,45+2,42+2,42+2,42+2,45+2,42+2,36+2,36+2,36+2,42+2,26
Mamadou Sissako,22,"ST,LW",France,58,66,Right,1,2,2,High/ Low,Normal,,,35,54,54,53,37,61,42,29,30,56,79,79,80,59,78,48,73,53,60,51,45,16,60,46,64,52,19,23,20,12,13,7,13,6,,,57+2,57+2,57+2,57+2,57+2,57+2,57+2,57+2,56+2,56+2,56+2,55+2,47+2,47+2,47+2,55+2,41+2,37+2,37+2,37+2,41+2,40+2,36+2,36+2,36+2,40+2,28
Josué Reyes,21,CB,Mexico,58,65,Right,1,2,2,Medium/ High,Lean,,,30,28,56,40,30,35,34,28,35,41,61,55,44,52,64,43,69,62,58,22,45,52,31,32,44,42,56,70,69,13,6,12,7,9,,,41+2,41+2,41+2,38+2,38+2,38+2,38+2,38+2,37+2,37+2,37+2,40+2,40+2,40+2,40+2,40+2,51+2,50+2,50+2,50+2,51+2,54+2,57+2,57+2,57+2,54+2,27
Andrés De Jesús Sarmiento Salas,21,ST,Colombia,58,69,Right,1,3,2,High/ Low,Normal,,,26,63,56,43,48,49,32,34,38,54,73,62,68,56,65,51,61,57,69,48,31,18,56,49,60,57,52,11,15,9,12,6,13,10,,,56+2,56+2,56+2,52+2,54+2,54+2,54+2,52+2,52+2,52+2,52+2,50+2,45+2,45+2,45+2,50+2,38+2,38+2,38+2,38+2,38+2,38+2,37+2,37+2,37+2,38+2,27
Timo Righetti,20,CB,Switzerland,58,69,Right,1,3,2,Medium/ Medium,Normal,,,45,34,48,60,30,53,40,41,54,52,65,55,54,50,58,51,83,53,69,40,67,54,38,40,42,43,55,54,52,7,10,6,11,7,,,47+2,47+2,47+2,49+2,48+2,48+2,48+2,49+2,49+2,49+2,49+2,50+2,50+2,50+2,50+2,50+2,53+2,54+2,54+2,54+2,53+2,53+2,56+2,56+2,56+2,53+2,26
Delano Grootenhuis,21,"LM,CM",Netherlands,58,67,Left,1,3,3,Medium/ Medium,Normal,,,45,34,60,60,46,59,45,48,58,58,68,70,65,55,77,58,60,58,46,40,58,43,57,58,45,44,31,44,53,5,7,7,10,12,,,53+2,53+2,53+2,55+2,55+2,55+2,55+2,55+2,56+2,56+2,56+2,56+2,55+2,55+2,55+2,56+2,52+2,51+2,51+2,51+2,52+2,51+2,48+2,48+2,48+2,51+2,27
César Huanca,17,ST,Chile,58,76,Right,1,3,2,Medium/ Medium,Normal,,,30,59,59,44,41,51,38,37,26,53,61,64,62,43,59,63,66,50,65,45,41,17,69,42,62,48,21,11,16,10,14,7,13,14,,,57+2,57+2,57+2,51+2,54+2,54+2,54+2,51+2,50+2,50+2,50+2,49+2,42+2,42+2,42+2,49+2,35+2,32+2,32+2,32+2,35+2,33+2,33+2,33+2,33+2,33+2,23
Ilyas Chouaref,18,CAM,France,58,76,Right,1,3,3,Medium/ Medium,Lean,,,48,48,34,55,45,66,50,52,48,63,70,72,73,50,76,59,56,47,53,45,44,23,50,56,56,53,32,23,21,11,9,8,8,15,,,53+2,53+2,53+2,58+2,56+2,56+2,56+2,58+2,57+2,57+2,57+2,57+2,51+2,51+2,51+2,57+2,43+2,41+2,41+2,41+2,43+2,41+2,36+2,36+2,36+2,41+2,24
水谷 拓磨,22,"RM,RB",Japan,58,63,Right,1,3,2,Medium/ High,Normal,,,61,42,33,58,40,58,47,42,52,58,79,73,76,52,96,46,51,51,28,41,47,39,50,42,41,44,31,48,44,10,15,8,7,11,,,49+2,49+2,49+2,56+2,53+2,53+2,53+2,56+2,54+2,54+2,54+2,56+2,51+2,51+2,51+2,56+2,52+2,47+2,47+2,47+2,52+2,50+2,42+2,42+2,42+2,50+2,28
Bram Verbong,19,GK,Netherlands,58,70,Right,1,2,1,Medium/ Medium,Normal,,,14,5,10,20,9,6,11,12,25,12,28,24,37,53,41,17,64,16,49,5,23,9,4,36,17,42,13,14,12,61,59,60,52,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Joel Soñora,22,"LW,RW,CAM",United States,58,70,Right,1,3,2,Medium/ Medium,Lean,,,54,50,26,58,52,64,55,52,45,61,66,64,73,56,74,53,42,40,34,41,30,25,53,55,59,56,40,25,25,5,6,5,8,14,,,51+2,51+2,51+2,58+2,56+2,56+2,56+2,58+2,57+2,57+2,57+2,57+2,51+2,51+2,51+2,57+2,45+2,41+2,41+2,41+2,45+2,42+2,34+2,34+2,34+2,42+2,28
Yohan Brun,24,"ST,CAM,RW",France,58,64,Right,1,3,2,High/ Medium,Normal,,,31,63,62,52,52,53,41,28,30,52,63,61,55,54,67,58,65,51,54,56,31,12,49,47,61,54,15,11,16,6,8,9,13,11,,,56+2,56+2,56+2,52+2,54+2,54+2,54+2,52+2,52+2,52+2,52+2,50+2,44+2,44+2,44+2,50+2,35+2,33+2,33+2,33+2,35+2,34+2,31+2,31+2,31+2,34+2,30
Sebastián Córdova,21,RM,Mexico,58,67,Right,1,3,2,Medium/ Medium,Lean,,,60,58,43,54,45,58,45,46,53,62,64,63,57,40,73,59,47,62,40,41,32,26,53,53,64,53,30,28,32,7,8,14,8,8,,,53+2,53+2,53+2,56+2,55+2,55+2,55+2,56+2,54+2,54+2,54+2,56+2,51+2,51+2,51+2,56+2,46+2,42+2,42+2,42+2,46+2,44+2,35+2,35+2,35+2,44+2,27
Euclides Da Silva Cabral,20,RB,Portugal,58,67,Right,1,3,2,Medium/ Medium,Lean,,,44,37,53,48,24,57,31,32,40,46,75,77,54,55,67,36,62,65,59,22,59,54,55,45,40,50,56,61,59,10,6,13,11,14,,,49+2,49+2,49+2,51+2,50+2,50+2,50+2,51+2,49+2,49+2,49+2,52+2,48+2,48+2,48+2,52+2,56+2,53+2,53+2,53+2,56+2,57+2,56+2,56+2,56+2,57+2,26
Omar Mussa,18,CAM,Belgium,58,74,Right,1,3,3,High/ Medium,Lean,,,53,50,48,54,49,60,57,51,52,57,79,82,83,50,84,56,63,65,43,52,42,24,51,57,48,52,34,40,36,10,14,14,12,6,,"Flair,Technical Dribbler (CPU AI Only)",54+2,54+2,54+2,58+2,56+2,56+2,56+2,58+2,57+2,57+2,57+2,58+2,52+2,52+2,52+2,58+2,49+2,44+2,44+2,44+2,49+2,48+2,41+2,41+2,41+2,48+2,24
Camilo Trejos,21,GK,Chile,58,70,Right,1,2,1,Medium/ Medium,Normal,,,23,13,30,51,20,21,38,19,48,14,28,33,37,55,51,35,66,45,66,11,34,29,8,48,32,51,10,25,25,56,61,60,49,63,,Puncher,,,,,,,,,,,,,,,,,,,,,,,,,,,27
José Guillén,20,"CM,CDM",Mexico,58,70,Right,1,3,2,Medium/ High,Lean,,,42,36,55,66,34,51,40,41,64,58,73,68,57,51,79,52,57,58,49,38,63,60,40,54,53,44,57,65,61,8,14,15,11,9,,,49+2,49+2,49+2,52+2,52+2,52+2,52+2,52+2,54+2,54+2,54+2,54+2,56+2,56+2,56+2,54+2,58+2,60+2,60+2,60+2,58+2,59+2,58+2,58+2,58+2,59+2,26
Tomasz Nawotka,22,RM,Poland,58,67,Right,1,2,2,Medium/ Medium,Lean,,,54,49,52,61,48,55,42,42,57,58,66,67,71,48,69,51,65,68,58,55,41,38,51,52,47,54,50,33,32,14,5,8,13,11,,,53+2,53+2,53+2,56+2,54+2,54+2,54+2,56+2,56+2,56+2,56+2,56+2,54+2,54+2,54+2,56+2,50+2,49+2,49+2,49+2,50+2,49+2,45+2,45+2,45+2,49+2,28
Joe Hardy,20,"ST,RW",England,58,72,Right,1,3,2,Medium/ Low,Normal,,,32,68,46,39,45,52,38,28,38,60,75,68,61,45,61,58,61,49,59,48,27,10,58,43,61,48,24,10,14,10,8,8,10,10,,,57+2,57+2,57+2,53+2,55+2,55+2,55+2,53+2,51+2,51+2,51+2,51+2,43+2,43+2,43+2,51+2,35+2,32+2,32+2,32+2,35+2,33+2,29+2,29+2,29+2,33+2,26
Julian Krahl,19,GK,Germany,58,72,Right,1,3,1,Medium/ Medium,Normal,,,12,8,14,22,7,8,10,9,20,18,27,36,32,51,33,25,58,19,70,13,31,12,8,28,14,22,15,14,13,61,51,57,47,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Niall Ennis,19,ST,England,58,75,Right,1,3,3,Medium/ Low,Normal,,,29,58,47,45,54,58,45,29,42,57,78,79,75,49,76,60,56,55,64,54,29,17,51,42,56,48,27,16,17,5,14,9,13,6,,Injury Prone,56+2,56+2,56+2,54+2,55+2,55+2,55+2,54+2,53+2,53+2,53+2,52+2,45+2,45+2,45+2,52+2,39+2,36+2,36+2,36+2,39+2,37+2,33+2,33+2,33+2,37+2,25
Diego Ordóñez,29,LB,Colombia,58,58,Left,1,2,2,Medium/ Medium,Normal,,,39,23,49,36,28,41,26,31,34,36,85,83,75,61,76,21,77,63,49,21,64,63,41,33,37,56,55,54,59,13,12,15,7,9,,,40+2,40+2,40+2,44+2,41+2,41+2,41+2,44+2,41+2,41+2,41+2,45+2,41+2,41+2,41+2,45+2,54+2,49+2,49+2,49+2,54+2,56+2,55+2,55+2,55+2,56+2,35
